"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"G009","Serveis religiosos","Esglésies evangèliques",427652257,"4580828.95",427560351,"4580628.03","2.133755","41.373911","Església Evangèlica Baptista Xinesa de Barcelona",3,18,"Sants-Montjuïc","Sants","C Antoni de Capmany, 71*79",933396289
"G011","Serveis religiosos","Salons del regne",431361622,4584199393,431269682,"4583998.44","2.177725","41.404592","Saló del Regne - Passatge Utset",2,6,"Eixample","la Sagrada Família","Ptge Utset, 7",932450452
"G008","Serveis religiosos","Esglésies catòliques",428778321,4587534433,428686406,"4587333.45","2.146429","41.434405","Residència Assistida per a Gent Gran Sant Josep-Església",7,40,"Horta-Guinardó","Montbau","Pg Vall d'Hebron, 149*157",934280621
"G008","Serveis religiosos","Esglésies catòliques",433637814,4584771494,433545854,4584570535,"2.204891","41.409937","Parròquia del Sagrat Cor de Jesús",10,71,"Sant Martí","Provençals del Poblenou","C Pere IV, 398",933071417
"G008","Serveis religiosos","Esglésies catòliques",428523135,4586831291,428431222,4586630315,"2.143458","41.428049","Quasi-parròquia de Ciutat Sanitària Vall Hebrón",7,40,"Horta-Guinardó","Montbau","Pg Vall d'Hebron, 119*129",934894422
"G006","Serveis religiosos","Comunitats ortodoxes",425812047,4582933421,425720158,4582732482,"2.111494","41.392697","Parròquia de la Mare de Déu - Patriarcat de Bulgària",4,21,"Les Corts","Pedralbes","Av Esplugues, 103","null"
"G012","Serveis religiosos","Sinagogues",427630109,4582372763,427538203,4582171828,"2.133305","41.387813","Jabad Lubavitch Barcelona",4,19,"Les Corts","les Corts","C Joan Gamper, 27",934100685
"G009","Serveis religiosos","Esglésies evangèliques",429795644,4580761859,429703718,4580560939,"2.15939","41.373497","Església Evangèlica Pentecostal Unida d'Espanya - Olivera",3,11,"Sants-Montjuïc","el Poble-sec","C Olivera, 11",675395265
"G008","Serveis religiosos","Esglésies catòliques",433066858,4583221934,432974902,"4583020.99","2.198232","41.395933","Parròquia de Sant Francesc d'Assís",10,68,"Sant Martí","el Poblenou","C Ramon Turró, 130",932251535
"G009","Serveis religiosos","Esglésies evangèliques",433697474,4586135962,433605513,4585934991,"2.205455","41.422231","Església Evangèlica de Filadèlfia - Sant Martí",10,73,"Sant Martí","la Verneda i la Pau","Rbla Prim, 192","null"
