lon;lat;district;neighborhood;avg_price
2.15829962547;41.3856344251;eixample;l'antiga esquerra de l'eixample;2.0
2.16337;41.38887;eixample;la dreta de l'eixample;1.0
2.15926522072;41.3883833045;eixample;l'antiga esquerra de l'eixample;3.0
2.1569;41.39114;eixample;l'antiga esquerra de l'eixample;1.0
2.15804100037;41.3906059844;eixample;l'antiga esquerra de l'eixample;1.0
2.1577835083;41.3897205904;eixample;l'antiga esquerra de l'eixample;2.0
2.156284;41.390869;eixample;l'antiga esquerra de l'eixample;2.0
2.15887;41.38886;eixample;l'antiga esquerra de l'eixample;3.0
2.161026;41.3877444;eixample;l'antiga esquerra de l'eixample;1.0
2.16268122196;41.3890303771;eixample;l'antiga esquerra de l'eixample;3.0
2.1601925147;41.3909717566;eixample;l'antiga esquerra de l'eixample;2.0
2.15703662777;41.3903132391;eixample;l'antiga esquerra de l'eixample;4.0
2.15767;41.39002;eixample;l'antiga esquerra de l'eixample;2.0
2.16841;41.38763;eixample;la dreta de l'eixample;1.5
2.16396758;41.38976248;eixample;la dreta de l'eixample;3.0
2.1577;41.38834;eixample;l'antiga esquerra de l'eixample;3.0
2.15883;41.39059;eixample;l'antiga esquerra de l'eixample;1.0
2.15675;41.3910294;eixample;l'antiga esquerra de l'eixample;3.0
2.15794;41.39101;eixample;l'antiga esquerra de l'eixample;1.0
2.1621599;41.3878212;eixample;l'antiga esquerra de l'eixample;3.0
2.16031;41.38853;eixample;l'antiga esquerra de l'eixample;2.0
2.15995;41.38826;eixample;l'antiga esquerra de l'eixample;4.0
2.15747;41.38966;eixample;l'antiga esquerra de l'eixample;2.0
2.15992927551;41.3920386874;eixample;la dreta de l'eixample;1.5
2.16314;41.38929;eixample;la dreta de l'eixample;1.5
2.16307932194;41.3890393157;eixample;la dreta de l'eixample;2.0
2.15775;41.38946;eixample;l'antiga esquerra de l'eixample;1.0
2.16121;41.39123;eixample;la dreta de l'eixample;2.0
2.15708;41.39192;eixample;l'antiga esquerra de l'eixample;2.5
2.1602199;41.38709;eixample;l'antiga esquerra de l'eixample;2.5
2.16221;41.38974;eixample;la dreta de l'eixample;1.5
2.16607;41.38978;eixample;la dreta de l'eixample;3.0
2.16682;41.3888092;eixample;la dreta de l'eixample;2.0
2.17098596647;41.3840543229;ciutat vella;el raval;1.0
2.16531;41.38952;eixample;la dreta de l'eixample;2.0
2.16738;41.38906;eixample;la dreta de l'eixample;4.0
2.13369872;41.38872449;les corts;les corts;2.0
2.16726;41.38809;eixample;la dreta de l'eixample;2.0
2.16555;41.3897199;eixample;la dreta de l'eixample;2.5
2.16638898849;41.3888893127;eixample;la dreta de l'eixample;3.0
2.16738;41.38801;eixample;la dreta de l'eixample;2.0
2.169041345;41.3888622285;eixample;la dreta de l'eixample;1.0
2.17102;41.38762;eixample;la dreta de l'eixample;2.0
2.16992855072;41.3877243851;eixample;la dreta de l'eixample;1.0
2.16724;41.38704;eixample;la dreta de l'eixample;1.0
2.167;41.38881;eixample;la dreta de l'eixample;2.0
2.1668183213;41.3887012494;eixample;la dreta de l'eixample;2.0
2.169367;41.387953;eixample;la dreta de l'eixample;3.0
2.16549;41.38511;ciutat vella;el raval;2.0
2.16801651818;41.3872203581;eixample;la dreta de l'eixample;2.0
2.16478;41.39052;eixample;la dreta de l'eixample;2.5
2.16764;41.3871899;eixample;la dreta de l'eixample;2.0
2.16799;41.38507;ciutat vella;el raval;2.0
2.16607117181;41.3891072391;eixample;la dreta de l'eixample;2.0
2.16775958585;41.3867745999;eixample;la dreta de l'eixample;1.0
2.1665;41.39011;eixample;la dreta de l'eixample;2.0
2.16772;41.38776;eixample;la dreta de l'eixample;2.5
2.167944;41.385766;eixample;la dreta de l'eixample;2.0
2.16847921094;41.3878812278;eixample;la dreta de l'eixample;2.0
2.164996;41.390696;eixample;la dreta de l'eixample;2.0
2.16589;41.3859;eixample;la dreta de l'eixample;2.0
2.16523;41.3889;eixample;la dreta de l'eixample;3.0
2.16818;41.3899199;eixample;la dreta de l'eixample;1.0
2.16547;41.3860699;eixample;la dreta de l'eixample;1.0
2.1665899;41.39038;eixample;la dreta de l'eixample;2.0
2.16900606444;41.3889179628;eixample;la dreta de l'eixample;2.5
2.17265;41.39012;eixample;la dreta de l'eixample;2.0
2.17196;41.3892;eixample;la dreta de l'eixample;3.5
2.17492818832;41.3875151019;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1723606;41.3886473;eixample;la dreta de l'eixample;1.0
2.17815;41.38637;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17572861965;41.3874254359;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.17349;41.38564;ciutat vella;el barri gòtic;2.0
2.1749401;41.3866882;ciutat vella;el barri gòtic;2.0
2.17203181;41.3890709675;eixample;la dreta de l'eixample;2.0
2.17206472214;41.3903835141;eixample;la dreta de l'eixample;2.0
2.17246;41.3891;eixample;la dreta de l'eixample;1.0
2.17273;41.3893;eixample;la dreta de l'eixample;1.5
2.17435;41.38706;ciutat vella;el barri gòtic;3.5
2.17185;41.3892784;eixample;la dreta de l'eixample;2.0
2.17173236333;41.3898017767;eixample;la dreta de l'eixample;2.0
2.17308;41.38957;eixample;la dreta de l'eixample;2.0
2.1712899;41.3885612;eixample;la dreta de l'eixample;3.0
2.17365109296;41.3888585326;ciutat vella;sant pere, santa caterina i la ribera;3.0
2.17564;41.38642;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17724;41.3888;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1724899;41.38798;ciutat vella;el barri gòtic;1.0
2.1717305672;41.3901295076;eixample;la dreta de l'eixample;1.0
2.172376885;41.390784455;eixample;la dreta de l'eixample;2.0
2.17013889;41.38527778;ciutat vella;el raval;2.0
2.17295819;41.38962163;eixample;la dreta de l'eixample;2.0
2.17183;41.38905;eixample;la dreta de l'eixample;1.5
2.17538087;41.38753637;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.17211;41.39079;eixample;la dreta de l'eixample;3.0
2.17369708646;41.3895544302;eixample;la dreta de l'eixample;2.0
2.17221492584;41.3906732778;eixample;la dreta de l'eixample;2.0
2.1789;41.38928;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17981094177;41.3898683755;ciutat vella;sant pere, santa caterina i la ribera;3.0
2.17992;41.38976;ciutat vella;sant pere, santa caterina i la ribera;2.5
2.17873;41.39002;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17885;41.39007;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.17965;41.38918;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1795777;41.3902886;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.17964;41.38948;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.1793442374;41.3892324956;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17954700719;41.389998543;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.1798312664;41.3896380871;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17993506044;41.386662048;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.18173;41.38739;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.18162064285;41.3866320834;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1828465;41.3857733;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.1800699;41.3861694;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17974809914;41.3894237027;ciutat vella;sant pere, santa caterina i la ribera;1.5
2.18055;41.38739;ciutat vella;sant pere, santa caterina i la ribera;1.0
2.18065;41.3880399;ciutat vella;sant pere, santa caterina i la ribera;2.5
2.1805501;41.3881989;ciutat vella;sant pere, santa caterina i la ribera;2.5
2.18305;41.38535;ciutat vella;sant pere, santa caterina i la ribera;1.66666666667
2.17795;41.3895399;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.18302087347;41.3863610343;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.1810299;41.38586;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.18282;41.3853;ciutat vella;sant pere, santa caterina i la ribera;2.0
2.17774;41.39015;ciutat vella;sant pere, santa caterina i la ribera;4.0
2.18155151187;41.3886401713;ciutat vella;sant pere, santa caterina i la ribera;2.0
